fold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp,n_samples
1,0.8309859154929577,0.9342105263157895,0.7121212121212122,0.8554216867469879,0.9010152284263959,0.9068979266347688,47.0,19.0,5.0,71.0,142.0
2,0.7183098591549296,0.8829787234042553,0.3958333333333333,0.8058252427184466,0.8504098360655737,0.7757092198581561,19.0,29.0,11.0,83.0,142.0
3,0.704225352112676,0.9770114942528736,0.2727272727272727,0.8018867924528302,0.8985200845665962,0.8332288401253919,15.0,40.0,2.0,85.0,142.0
4,0.8098591549295775,0.9666666666666667,0.5384615384615384,0.8656716417910447,0.9235668789808917,0.8145299145299146,28.0,24.0,3.0,87.0,142.0
5,0.7394366197183099,0.935064935064935,0.5076923076923077,0.7955801104972375,0.8737864077669902,0.8495504495504496,33.0,32.0,5.0,72.0,142.0
mean,0.7605633802816902,0.939186469140904,0.48536713286713284,0.8248770948413094,0.8894596871612895,0.8359832701397363,,,,,710.0
std,0.056557670437355684,0.03669792743367803,0.16429154967162873,0.03296591997958095,0.02806004466523595,0.048253889356047706,,,,,
