fold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp,n_samples
1,0.8450704225352113,0.9868421052631579,0.6818181818181818,0.872093023255814,0.9375,0.9009170653907497,45.0,21.0,1.0,75.0,142.0
2,0.7183098591549296,0.8829787234042553,0.3958333333333333,0.8058252427184466,0.8504098360655737,0.7047872340425533,19.0,29.0,11.0,83.0,142.0
3,0.8873239436619719,0.9425287356321839,0.8,0.9111111111111111,0.9297052154195011,0.9473354231974922,44.0,11.0,5.0,82.0,142.0
4,0.9084507042253521,0.9444444444444444,0.8461538461538461,0.9289617486338798,0.9381898454746137,0.9538461538461539,44.0,8.0,5.0,85.0,142.0
5,0.7183098591549296,0.8441558441558441,0.5692307692307692,0.7647058823529411,0.8104738154613467,0.814985014985015,37.0,28.0,12.0,65.0,142.0
mean,0.815492957746479,0.9201899705799772,0.658607226107226,0.8565394016144385,0.893255742484207,0.8643741782923928,,,,,710.0
std,0.09160345093807942,0.05633753695756141,0.1821693370413602,0.06976801585224492,0.05914772005409311,0.10503626444041148,,,,,
