experiment,accuracy_mean,sensitivity_mean,specificity_mean,f1_mean,f2_mean,auc_mean,tn_mean,fp_mean,fn_mean,tp_mean,n_samples_mean,accuracy_std,sensitivity_std,specificity_std,f1_std,f2_std,auc_std,tn_std,fp_std,fn_std,tp_std,n_samples_std
resnet50_lr1e-4,0.8422535211267606,0.9190345904111977,0.7268065268065268,0.8741754255695025,0.9003445726531012,0.920885405761598,,,,,710.0,0.03053448364602644,0.044475642360094624,0.05479070440078842,0.02100660828643927,0.0328462574655821,0.022664588999964024,,,,,
efficientnet_b0_lr1e-4_wd5e-4_aug,0.8605633802816902,0.9038507020346616,0.807144522144522,0.8845204653788187,0.8953894826018137,0.920702391746142,,,,,710.0,0.03638876248665862,0.06390824352722828,0.07592595596517908,0.03264518959389351,0.046803407182491014,0.022047020528575618,,,,,
efficientnet_b0_lr3e-4,0.815492957746479,0.9201899705799772,0.658607226107226,0.8565394016144385,0.893255742484207,0.8643741782923928,,,,,710.0,0.09160345093807942,0.05633753695756141,0.1821693370413602,0.06976801585224492,0.05914772005409311,0.10503626444041148,,,,,
efficientnet_b0_lr1e-4,0.8661971830985914,0.8849240428044922,0.8424708624708626,0.8865946721574568,0.8853950876569512,0.9277422495154038,,,,,710.0,0.023881443602553776,0.033540836754231584,0.05373254900431865,0.025316619933949513,0.026915907796743917,0.0214730412977998,,,,,
resnet50_lr3e-5,0.8169014084507042,0.8916893001752252,0.7130128205128206,0.8524661010054271,0.8750523432932077,0.8872447128390867,,,,,710.0,0.02772537983806975,0.05044137461900223,0.05172936304769621,0.024231718079229633,0.03371167889912546,0.02040741566609511,,,,,
efficientnet_b0_lr1e-4_wd5e-4,0.8450704225352113,0.8750808037903068,0.7942948717948719,0.8707833094934971,0.8732801633601175,0.898846066913676,,,,,710.0,0.04750259705363395,0.047337519829700914,0.08511181588449289,0.03591931098782358,0.0421426675733244,0.0709895836525588,,,,,
