fold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp,n_samples
1,0.8661971830985915,0.9605263157894737,0.7575757575757576,0.8848484848484849,0.9287531806615776,0.9401913875598087,50.0,16.0,3.0,73.0,142.0
2,0.823943661971831,0.7978723404255319,0.875,0.8571428571428571,0.8205689277899344,0.9086879432624114,42.0,6.0,19.0,75.0,142.0
3,0.8661971830985915,0.9425287356321839,0.7454545454545455,0.8961748633879781,0.9234234234234234,0.8932079414838036,41.0,14.0,5.0,82.0,142.0
4,0.9154929577464789,0.9222222222222223,0.9038461538461539,0.9325842696629213,0.9263392857142857,0.9459401709401709,47.0,5.0,7.0,83.0,142.0
5,0.8309859154929577,0.8961038961038961,0.7538461538461538,0.8518518518518519,0.8778625954198473,0.9154845154845156,49.0,16.0,8.0,69.0,142.0
mean,0.8605633802816902,0.9038507020346616,0.807144522144522,0.8845204653788187,0.8953894826018137,0.920702391746142,,,,,710.0
std,0.03638876248665862,0.06390824352722828,0.07592595596517908,0.03264518959389351,0.046803407182491014,0.022047020528575618,,,,,
