fold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp,n_samples
1,0.8380281690140845,0.9473684210526315,0.7121212121212122,0.8622754491017964,0.9113924050632911,0.9393939393939394,47.0,19.0,4.0,72.0,142.0
2,0.795774647887324,0.8617021276595744,0.6666666666666666,0.8481675392670157,0.8562367864693446,0.8871897163120567,32.0,16.0,13.0,81.0,142.0
3,0.8732394366197183,0.9770114942528736,0.7090909090909091,0.9042553191489362,0.9465478841870824,0.9442006269592477,39.0,16.0,2.0,85.0,142.0
4,0.8380281690140845,0.9,0.7307692307692307,0.8756756756756757,0.8901098901098901,0.916559829059829,38.0,14.0,9.0,81.0,142.0
5,0.8661971830985915,0.9090909090909091,0.8153846153846154,0.8805031446540881,0.8974358974358975,0.917082917082917,53.0,12.0,7.0,70.0,142.0
mean,0.8422535211267606,0.9190345904111977,0.7268065268065268,0.8741754255695025,0.9003445726531012,0.920885405761598,,,,,710.0
std,0.03053448364602644,0.044475642360094624,0.05479070440078842,0.02100660828643927,0.0328462574655821,0.022664588999964024,,,,,
