fold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp,n_samples
1,0.8732394366197183,0.9078947368421053,0.8333333333333334,0.8846153846153846,0.8984375,0.927432216905901,55.0,11.0,7.0,69.0,142.0
2,0.7676056338028169,0.8297872340425532,0.6458333333333334,0.8253968253968254,0.8280254777070064,0.7727171985815604,31.0,17.0,16.0,78.0,142.0
3,0.8732394366197183,0.9195402298850575,0.8,0.898876404494382,0.9111617312072893,0.9333333333333333,44.0,11.0,7.0,80.0,142.0
4,0.8802816901408451,0.9,0.8461538461538461,0.9050279329608939,0.9020044543429844,0.9416666666666667,44.0,8.0,9.0,81.0,142.0
5,0.8309859154929577,0.8181818181818182,0.8461538461538461,0.84,0.8267716535433071,0.9190809190809192,55.0,10.0,14.0,63.0,142.0
mean,0.8450704225352113,0.8750808037903068,0.7942948717948719,0.8707833094934971,0.8732801633601175,0.898846066913676,,,,,710.0
std,0.04750259705363395,0.047337519829700914,0.08511181588449289,0.03591931098782358,0.0421426675733244,0.0709895836525588,,,,,
