fold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp,n_samples
1,0.795774647887324,0.9473684210526315,0.6212121212121212,0.8323699421965318,0.8977556109725686,0.9098883572567783,41.0,25.0,4.0,72.0,142.0
2,0.7887323943661971,0.8191489361702128,0.7291666666666666,0.8369565217391305,0.8261802575107297,0.8541666666666666,35.0,13.0,17.0,77.0,142.0
3,0.8591549295774648,0.9310344827586207,0.7454545454545455,0.8901098901098901,0.9142212189616253,0.8940438871473355,41.0,14.0,6.0,81.0,142.0
4,0.823943661971831,0.8777777777777778,0.7307692307692307,0.8633879781420765,0.8719646799116998,0.8908119658119658,38.0,14.0,11.0,79.0,142.0
5,0.8169014084507042,0.8831168831168831,0.7384615384615385,0.8395061728395061,0.8651399491094147,0.8873126873126873,48.0,17.0,9.0,68.0,142.0
mean,0.8169014084507042,0.8916893001752252,0.7130128205128206,0.8524661010054271,0.8750523432932077,0.8872447128390867,,,,,710.0
std,0.02772537983806975,0.05044137461900223,0.05172936304769621,0.024231718079229633,0.03371167889912546,0.02040741566609511,,,,,
