threshold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp
0.2,0.8352112676056338,0.9221698113207547,0.7062937062937062,0.8698553948832035,0.9005066789497927,0.9287669877292519,202,84,33,391
0.21,0.8380281690140845,0.9198113207547169,0.7167832167832168,0.8715083798882681,0.8998615597600369,0.9287669877292519,205,81,34,390
0.22,0.8394366197183099,0.9174528301886793,0.7237762237762237,0.8721973094170403,0.8987985212569316,0.9287669877292519,207,79,35,389
0.23,0.8436619718309859,0.9174528301886793,0.7342657342657343,0.875140607424072,0.9000462748727441,0.9287669877292519,210,76,35,389
0.24,0.8450704225352113,0.9150943396226415,0.7412587412587412,0.8758465011286681,0.8989805375347544,0.9287669877292519,212,74,36,388
0.25,0.847887323943662,0.9150943396226415,0.7482517482517482,0.8778280542986425,0.8998144712430427,0.9287669877292519,214,72,36,388
0.26,0.8492957746478873,0.9127358490566038,0.7552447552447552,0.8785471055618616,0.8987459359033906,0.9287669877292519,216,70,37,387
0.27,0.852112676056338,0.9127358490566038,0.7622377622377622,0.8805460750853242,0.899581589958159,0.9287669877292519,218,68,37,387
0.28,0.8492957746478873,0.9056603773584906,0.7657342657342657,0.8777142857142857,0.8942710759198882,0.9287669877292519,219,67,40,384
0.29,0.852112676056338,0.9056603773584906,0.7727272727272727,0.8797250859106529,0.8951048951048951,0.9287669877292519,221,65,40,384
0.3,0.852112676056338,0.9056603773584906,0.7727272727272727,0.8797250859106529,0.8951048951048951,0.9287669877292519,221,65,40,384
0.31,0.8535211267605634,0.9056603773584906,0.7762237762237763,0.8807339449541285,0.8955223880597015,0.9287669877292519,222,64,40,384
0.32,0.852112676056338,0.9009433962264151,0.7797202797202797,0.8791714614499425,0.8921064922933208,0.9287669877292519,223,63,42,382
0.33,0.8549295774647887,0.8985849056603774,0.7902097902097902,0.8809248554913295,0.8914365933551708,0.9287669877292519,226,60,43,381
0.34,0.856338028169014,0.8985849056603774,0.7937062937062938,0.8819444444444444,0.8918539325842697,0.9287669877292519,227,59,43,381
0.35,0.8577464788732394,0.8985849056603774,0.7972027972027972,0.8829663962920047,0.892271662763466,0.9287669877292519,228,58,43,381
0.36,0.8619718309859155,0.8985849056603774,0.8076923076923077,0.8860465116279069,0.8935272045028143,0.9287669877292519,231,55,43,381
0.37,0.8633802816901408,0.8985849056603774,0.8111888111888111,0.8870779976717112,0.8939465039887377,0.9287669877292519,232,54,43,381
0.38,0.8619718309859155,0.8962264150943396,0.8111888111888111,0.8857808857808858,0.892018779342723,0.9287669877292519,232,54,44,380
0.39,0.8619718309859155,0.8962264150943396,0.8111888111888111,0.8857808857808858,0.892018779342723,0.9287669877292519,232,54,44,380
0.4,0.8619718309859155,0.8938679245283019,0.8146853146853147,0.8855140186915887,0.8905075187969925,0.9287669877292519,233,53,45,379
0.41,0.8605633802816901,0.8891509433962265,0.8181818181818182,0.8839390386869871,0.8870588235294118,0.9287669877292519,234,52,47,377
0.42,0.8591549295774648,0.8867924528301887,0.8181818181818182,0.8826291079812206,0.8851224105461394,0.9287669877292519,234,52,48,376
0.43,0.8605633802816901,0.8867924528301887,0.8216783216783217,0.8836662749706228,0.885539331135186,0.9287669877292519,235,51,48,376
0.44,0.8605633802816901,0.8867924528301887,0.8216783216783217,0.8836662749706228,0.885539331135186,0.9287669877292519,235,51,48,376
0.45,0.8605633802816901,0.8867924528301887,0.8216783216783217,0.8836662749706228,0.885539331135186,0.9287669877292519,235,51,48,376
0.46,0.8647887323943662,0.8867924528301887,0.8321678321678322,0.8867924528301887,0.8867924528301887,0.9287669877292519,238,48,48,376
0.47,0.8647887323943662,0.8867924528301887,0.8321678321678322,0.8867924528301887,0.8867924528301887,0.9287669877292519,238,48,48,376
0.48,0.8633802816901408,0.8820754716981132,0.8356643356643356,0.8852071005917159,0.8833254605573926,0.9287669877292519,239,47,50,374
0.49,0.8633802816901408,0.8820754716981132,0.8356643356643356,0.8852071005917159,0.8833254605573926,0.9287669877292519,239,47,50,374
0.5,0.8633802816901408,0.8820754716981132,0.8356643356643356,0.8852071005917159,0.8833254605573926,0.9287669877292519,239,47,50,374
0.51,0.8633802816901408,0.8820754716981132,0.8356643356643356,0.8852071005917159,0.8833254605573926,0.9287669877292519,239,47,50,374
0.52,0.8647887323943662,0.8820754716981132,0.8391608391608392,0.8862559241706162,0.8837429111531191,0.9287669877292519,240,46,50,374
0.53,0.8647887323943662,0.8820754716981132,0.8391608391608392,0.8862559241706162,0.8837429111531191,0.9287669877292519,240,46,50,374
0.54,0.8661971830985915,0.8820754716981132,0.8426573426573427,0.8873072360616845,0.8841607565011821,0.9287669877292519,241,45,50,374
0.55,0.8591549295774648,0.8702830188679245,0.8426573426573427,0.8806682577565632,0.8744075829383886,0.9287669877292519,241,45,55,369
0.56,0.8577464788732394,0.8655660377358491,0.8461538461538461,0.8790419161676647,0.8709065021357381,0.9287669877292519,242,44,57,367
0.57,0.8549295774647887,0.8608490566037735,0.8461538461538461,0.8763505402160864,0.8669833729216152,0.9287669877292519,242,44,59,365
0.58,0.8507042253521127,0.8537735849056604,0.8461538461538461,0.8722891566265061,0.8610846812559467,0.9287669877292519,242,44,62,362
0.59,0.8492957746478873,0.8514150943396226,0.8461538461538461,0.8709288299155609,0.8591147072822466,0.9287669877292519,242,44,63,361
0.6,0.852112676056338,0.8514150943396226,0.8531468531468531,0.8730350665054414,0.8599333015721772,0.9287669877292519,244,42,63,361
0.61,0.852112676056338,0.8514150943396226,0.8531468531468531,0.8730350665054414,0.8599333015721772,0.9287669877292519,244,42,63,361
0.62,0.852112676056338,0.8466981132075472,0.8601398601398601,0.8724179829890644,0.8568019093078759,0.9287669877292519,246,40,65,359
0.63,0.8507042253521127,0.8443396226415094,0.8601398601398601,0.8710462287104623,0.8548233046800382,0.9287669877292519,246,40,66,358
0.64,0.8507042253521127,0.8443396226415094,0.8601398601398601,0.8710462287104623,0.8548233046800382,0.9287669877292519,246,40,66,358
0.65,0.8535211267605634,0.8443396226415094,0.8671328671328671,0.8731707317073171,0.8556405353728489,0.9287669877292519,248,38,66,358
