fold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp,n_samples
1,0.8802816901408451,0.9078947368421053,0.8484848484848485,0.8903225806451613,0.9007832898172323,0.9314194577352473,56.0,10.0,7.0,69.0,142.0
2,0.8661971830985915,0.8404255319148937,0.9166666666666666,0.8926553672316384,0.8605664488017429,0.9327349290780141,44.0,4.0,15.0,79.0,142.0
3,0.8591549295774648,0.9080459770114943,0.7818181818181819,0.8876404494382022,0.8997722095671982,0.9396029258098223,43.0,12.0,8.0,79.0,142.0
4,0.8943661971830986,0.9111111111111111,0.8653846153846154,0.9162011173184358,0.9131403118040089,0.9444444444444444,45.0,7.0,8.0,82.0,142.0
5,0.8309859154929577,0.8571428571428571,0.8,0.8461538461538461,0.8527131782945736,0.8905094905094905,52.0,13.0,11.0,66.0,142.0
mean,0.8661971830985914,0.8849240428044922,0.8424708624708626,0.8865946721574568,0.8853950876569512,0.9277422495154038,,,,,710.0
std,0.023881443602553776,0.033540836754231584,0.05373254900431865,0.025316619933949513,0.026915907796743917,0.0214730412977998,,,,,
