fold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp,n_samples
1,0.823943661971831,0.9342105263157895,0.696969696969697,0.8502994011976048,0.8987341772151899,0.9316188197767145,46.0,20.0,5.0,71.0,142.0
2,0.8098591549295775,0.8404255319148937,0.75,0.8540540540540541,0.8458244111349036,0.9175531914893618,36.0,12.0,15.0,79.0,142.0
3,0.8028169014084507,0.9885057471264368,0.509090909090909,0.86,0.9327548806941431,0.9111807732497388,28.0,27.0,1.0,86.0,142.0
4,0.8802816901408451,0.8888888888888888,0.8653846153846154,0.903954802259887,0.8948545861297539,0.9386752136752136,45.0,7.0,10.0,80.0,142.0
5,0.8380281690140845,0.8701298701298701,0.8,0.8535031847133758,0.8634020618556701,0.9024975024975025,52.0,13.0,10.0,67.0,142.0
mean,0.8309859154929576,0.9044321128751758,0.7242890442890444,0.8643622884449844,0.8871140234059322,0.9203051001377063,,,,,710.0
std,0.03069647143338503,0.05803061252202549,0.13542317598156198,0.022408376438874382,0.033708757548625415,0.014776655571658451,,,,,
