fold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp,n_samples
1,0.8732394366197183,0.9342105263157895,0.803030303030303,0.8875,0.9149484536082474,0.9403907496012759,53.0,13.0,5.0,71.0,142.0
2,0.8098591549295775,0.8723404255319149,0.6875,0.8586387434554974,0.8668076109936576,0.8579343971631206,33.0,15.0,12.0,82.0,142.0
3,0.8661971830985915,0.9195402298850575,0.7818181818181819,0.8938547486033519,0.9090909090909091,0.9205851619644723,43.0,12.0,7.0,80.0,142.0
4,0.852112676056338,0.9333333333333333,0.7115384615384616,0.8888888888888888,0.9150326797385621,0.9002136752136752,37.0,15.0,6.0,84.0,142.0
5,0.7464788732394366,0.922077922077922,0.5384615384615384,0.797752808988764,0.8679706601466992,0.8755244755244755,35.0,30.0,6.0,71.0,142.0
mean,0.8295774647887324,0.9163004874288034,0.704469696969697,0.8653270379873004,0.894770062715615,0.8989296918934038,,,,,710.0
std,0.05255805114660642,0.025432504088404143,0.10439543562152527,0.040223255225706384,0.02511441036980999,0.0332341904020555,,,,,
