fold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp,n_samples
1,0.8732394366197183,0.9736842105263158,0.7575757575757576,0.891566265060241,0.9390862944162437,0.9671052631578947,50.0,16.0,2.0,74.0,142.0
2,0.8098591549295775,0.851063829787234,0.7291666666666666,0.8556149732620321,0.8528784648187633,0.8031914893617021,35.0,13.0,14.0,80.0,142.0
3,0.7535211267605634,0.9655172413793104,0.41818181818181815,0.8275862068965517,0.9051724137931034,0.7882967607105539,23.0,32.0,3.0,84.0,142.0
4,0.8943661971830986,0.9111111111111111,0.8653846153846154,0.9162011173184358,0.9131403118040089,0.9393162393162393,45.0,7.0,8.0,82.0,142.0
5,0.852112676056338,0.8961038961038961,0.8,0.8679245283018868,0.8846153846153846,0.933066933066933,52.0,13.0,8.0,69.0,142.0
mean,0.8366197183098592,0.9194960577815735,0.7140617715617715,0.8717786181678294,0.8989785738895009,0.8861953371226647,,,,,710.0
std,0.055984808209441655,0.050879208977033255,0.17316939237117843,0.03388951179800916,0.03232285948759783,0.08372419437338798,,,,,
