fold,accuracy,sensitivity,specificity,f1,f2,auc,tn,fp,fn,tp,n_samples
1,0.823943661971831,0.9210526315789473,0.7121212121212122,0.8484848484848485,0.8905852417302799,0.9302232854864434,47.0,19.0,6.0,70.0,142.0
2,0.8450704225352113,0.8191489361702128,0.8958333333333334,0.875,0.8406113537117904,0.8971631205673759,43.0,5.0,17.0,77.0,142.0
3,0.8450704225352113,0.896551724137931,0.7636363636363637,0.8764044943820225,0.8883826879271071,0.9306165099268547,42.0,13.0,9.0,78.0,142.0
4,0.7676056338028169,0.9111111111111111,0.5192307692307693,0.8324873096446701,0.8779443254817987,0.8159188034188034,27.0,25.0,8.0,82.0,142.0
5,0.7816901408450704,0.8441558441558441,0.7076923076923077,0.8074534161490683,0.8290816326530612,0.8797202797202798,46.0,19.0,12.0,65.0,142.0
mean,0.8126760563380282,0.8784040494308092,0.7197027972027972,0.8479660137321219,0.8653210483008074,0.8907283998239514,,,,,710.0
std,0.03611515888720588,0.044446877146666126,0.13540946265591186,0.029243433570036573,0.028518985219743772,0.04719631175907314,,,,,
